Base Ticker,Company Name,Preferred Stock,Last Price,Full Name,Weight (%),Market Value,Original Name
USB,US BANCORP,USB,23.26,US BANCORP,0.29,39789835.3,US BANCORP
SO,SOUTHERN COMPANY (THE),SO,18.23,SOUTHERN COMPANY (THE),0.29,40674429.63,SOUTHERN COMPANY (THE)
PRU,PRUDENTIAL FINANCIAL,PRU,23.9,PRUDENTIAL FINANCIAL INC,0.29,40057403.8,PRUDENTIAL FINANCIAL INC
LNC,LINCOLN NATIONAL,LNC,26.89,LINCOLN NATIONAL CORPORATION,0.29,40088042.24,LINCOLN NATIONAL CORPORATION
F,FORD MOTOR,F,22.91,FORD MOTOR COMPANY,0.29,40892792.12,FORD MOTOR COMPANY
CHSINC,CHS CUMULATIVE REDEEMABLE PREF CLA,CHSINC,25.76,CHS INC,0.29,39658318.56,CHS INC
ALL,ALLSTATE CORPORATION (THE),ALL,26.2,ALLSTATE CORPORATION (THE),0.28,38973600.4,ALLSTATE CORPORATION (THE)
SYF,SYNCHRONY FINANCIAL,SYF,26.13,SYNCHRONY FINANCIAL,0.28,38757191.85,SYNCHRONY FINANCIAL
ATH,ATHENE HOLDING DS REPRESENTING P,ATH,25.76,ATHENE HLDG LTD DEP SHR REPSTG I,0.28,38319081.92,ATHENE HLDG LTD DEP SHR REPSTG I
BANC,BANC OF CALIFORNIA,BANC,25.38,BANC OF CALIFORNIA INC,0.28,38641100.76,BANC OF CALIFORNIA INC
MET,METLIFE,MET,21.57,METLIFE INC,0.28,38500983.24,METLIFE INC
BK,BANK OF NEW YORK MELLON CORP/THE,BK,25.8,BANK OF NEW YORK MELLON CORP/THE,0.28,38267617.8,BANK OF NEW YORK MELLON CORP/THE
CTL,QWEST,CTL,19.7,QWEST CORP,0.28,38679019.4,QWEST CORP
TFC,TRUIST FINANCIAL,TFC,22.13,TRUIST FINANCIAL PERPETUAL PREF SE,0.27,37746986.09,TRUIST FINANCIAL PERPETUAL PREF SE
RF,REGIONS FINANCIAL,RF,25.48,REGIONS FINANCIAL CORPORATION,0.27,37793082.6,REGIONS FINANCIAL CORPORATION
BAC,BANK OF AMERICA,BAC,18.12,BANK OF AMERICA CORP,0.27,37923601.68,BANK OF AMERICA CORP
KEY,KEYCORP,KEY,25.12,KEYCORP,0.27,37367080.16,KEYCORP
CHSINC,CHS CUMULATIVE REDEEMABLE PREF CLA,CHSINC,25.11,CHS RESET RATE CUMULATIVE REDEEMAB,0.26,36741755.52,CHS RESET RATE CUMULATIVE REDEEMAB
USB,US BANCORP,USB,16.33,US BANCORP,0.26,36331026.85,US BANCORP
RF,REGIONS FINANCIAL,RF,24.23,REGIONS FINANCIAL CORPORATION,0.26,35939026.35,REGIONS FINANCIAL CORPORATION
DUK,DUKE ENERGY,DUK,24.51,DUKE ENERGY CORP,0.26,36459654.42,DUKE ENERGY CORP
FITB,FIFTH THIRD BANCORP DEPOSITARY SHA,FITB,25.64,FIFTH THIRD BANCORP DEPOSITARY SHA,0.25,34226938.56,FIFTH THIRD BANCORP DEPOSITARY SHA
STT,STATE STREET,STT,23.3,STATE STREET CORP,0.25,34659751.9,STATE STREET CORP
RITM,NEW RESIDENTIAL INVESTMENT,RITM,24.58,NEW RESIDENTIAL INVESTMENT CORP,0.25,34005569.7,NEW RESIDENTIAL INVESTMENT CORP
COF,CAPITAL ONE FINANCIAL,COF,17.07,CAPITAL ONE FINANCIAL CORPORATION,0.25,34277311.08,CAPITAL ONE FINANCIAL CORPORATION
FLG,NEW YORK COMMUNITY BANCORP INT FXD,FLG,22.81,NEW YORK COMMUNITY BANCORP INT FXD,0.25,34846380.8,NEW YORK COMMUNITY BANCORP INT FXD
