Base Ticker,Company Name,Preferred Stock,Last Price,Full Name,Weight (%),Market Value,Quantity,Original Name
TRTN,TRITON INTERNATIONAL LTD,TRTN-C,24.32,Triton International,0.09,"12,151,372.62","499,748.00",TRITON INTERNATIONAL LTD
PSA,PUBLIC STORAGE,PSA-K,18.4,Public Storage,0.09,"12,084,236.80","656,752.00",PUBLIC STORAGE
PSA,PUBLIC STORAGE DEP SHS REPSTG PF,PSA-N,14.92,Public Storage,0.09,"12,035,620.84","806,677.00",PUBLIC STORAGE DEP SHS REPSTG PF
IVR,INVESCO MORTGAGE CAPITAL INC,IVR-C,23.99,Invesco Mortgage Capital,0.09,"11,965,396.34","498,766.00",INVESCO MORTGAGE CAPITAL INC
DLR,DIGITAL REALTY TRUST INC,DLR-J,20.4,Digital Realty Trust,0.09,"11,649,318.00","571,045.00",DIGITAL REALTY TRUST INC
EIX,SCE TRUST II CUM TRUST SECS P,SCE-G,18.42,SCE Trust,0.09,"11,568,910.70","628,233.00",SCE TRUST II CUM TRUST SECS P
ABR,ARBOR REALTY TRUST INC,ABR-D,17.3,Arbor Realty Trust,0.09,"11,539,048.10","666,997.00",ARBOR REALTY TRUST INC
PSA,PUBLIC STORAGE DEPOSITARY SHS EACH,PSA-S,15.85,Public Storage,0.08,"11,314,015.30","713,818.00",PUBLIC STORAGE DEPOSITARY SHS EACH
MFA,MFA FINANCIAL INC,MFA-B,19.76,MFA Financial,0.08,"11,283,849.20","571,045.00",MFA FINANCIAL INC
FULT,FULTON FINANCIAL CORPORATION,FULTP,18.79,Fulton Financial,0.08,"11,204,984.33","596,327.00",FULTON FINANCIAL CORPORATION
MBIN,MERCHANTS BANCORP,MBINN,19.91,Merchants Bancorp,0.08,"11,153,641.73","560,203.00",MERCHANTS BANCORP
AGNCL,AGNC INVESTMENT CORP,AGNCL,25.1,AGNC Investment,0.08,"11,134,987.50","443,625.00",AGNC INVESTMENT CORP
GNL,GLOBAL NET LEASE PREF SERIES A INC,GNL-A,22.91,Global Net Lease,0.08,"11,117,835.04","485,389.00",GLOBAL NET LEASE PREF SERIES A INC
GS,GOLDMAN SACHS GROUP INC,GS-C,19.45,Goldman Sachs Group,0.08,"11,103,814.46","571,037.00",GOLDMAN SACHS GROUP INC
CMS,CMS ENERGY CORPORATION,CMS-C,16.9,CMS Energy,0.08,"11,095,960.20","656,760.00",CMS ENERGY CORPORATION
SF,STIFEL FINANCIAL CORP,SF-B,23.92,Stifel Financial Corp,0.08,"10,926,416.80","456,790.00",STIFEL FINANCIAL CORP
BHF,BRIGHTHOUSE FINANCIAL INC,BHFAM,10.92,Brighthouse Financial,0.08,"10,913,164.08","999,374.00",BRIGHTHOUSE FINANCIAL INC
PSA,PUBLIC STORAGE,PSA-M,16.04,Public Storage,0.08,"10,910,408.00","680,200.00",PUBLIC STORAGE
CODI,COMPASS DIVERSIFIED HOLDINGS,CODI-C,19.32,Compass Diversified,0.08,"10,901,173.53","564,389.00",COMPASS DIVERSIFIED HOLDINGS
